temperature,pressure,speed,feed_rate,humidity,material_density,material_hardness,material_grade,yield,quality,energy_consumption,carbon_intensity,batch_id
224.9080237694725,3.355351153623154,1929.989695708982,1.331688212747862,63.21607543684374,3.621780831931537,38.31939786151342,2,0.7525172957755539,0.3350914039522445,439.90645390803166,314.901424590337,BATCH_0000
340.14286128198324,3.2228091916479986,2513.5808232499658,0.42753408799981585,61.23698026478766,7.655000144869414,37.28851593503999,1,0.7493646502198105,0.3,476.0989423125497,334.6749277302426,BATCH_0001
296.39878836228104,9.15629122468933,2400.4023244753976,1.7575496703741484,25.74525191980146,6.123957592679836,83.43782063647257,1,0.8569230830410566,0.40543195767105483,500.0,394.43065614302077,BATCH_0002
269.73169683940733,3.245915798645555,884.7497617344343,1.2649208542315589,75.35434429434801,5.190609389379256,37.46823398946543,3,0.9595609275658045,0.5823102445016004,363.58250956632287,451.7569128702229,BATCH_0003
181.2037280884873,3.447547535157679,873.1236743536847,0.39868737875821303,54.10833212940918,2.0921304830970557,39.03648082900417,3,0.823280183601646,0.5284692663138167,238.57673782093724,422.87920932596575,BATCH_0004
181.19890406724053,7.8345843617616735,1170.4359193622834,1.928442309214293,41.82353126814105,2.0919616423534184,73.15787836925746,1,0.7872316090450161,0.5787557522368623,500.0,437.8647652348848,BATCH_0005
161.6167224336399,5.04765858205486,1402.686815852593,1.0848943803371092,65.3923150097184,1.4065852851773961,51.481788971537796,1,0.7477313332717515,0.42705414149428905,351.51338203105763,497.37638446522175,BATCH_0006
323.235229154987,7.990395012596631,1521.1389535212065,0.2385070585561445,35.44192750409805,7.063233020424546,74.36973898686269,2,0.9843750549998103,0.5709943066634048,442.1864222073331,467.9119158179475,BATCH_0007
270.2230023486418,1.588295418079467,2199.2430420833634,1.2909825183886277,61.61059022277922,5.207805082202461,24.575631029506965,3,0.7619652357655134,0.35936152557232653,449.7227572262674,415.81957898961724,BATCH_0008
291.6145155592091,5.388140743060458,641.7010804145885,0.5810779233243394,22.382672454334834,5.956508044572319,54.1299835571369,2,0.9643180452948301,0.6718975612285586,337.48413960540694,422.34281848556105,BATCH_0009
154.1168988591605,1.3025224016495436,586.681760565166,1.6270175585668747,70.36448225655631,1.1440914600706171,22.352952012829785,2,0.7193302752625641,0.4194601014046151,276.66040616571667,361.0974692156261,BATCH_0010
343.98197043239884,1.5638788310981906,1479.7764073597725,1.6538619397757621,46.89025082127911,7.78936896513396,24.38572424187482,2,0.8429055418584731,0.32945316896275967,418.3744163834973,324.8509641582705,BATCH_0011
316.48852816008434,9.157937080099698,2242.909230344951,1.9599999761238576,58.2015748614765,6.827098485602952,83.45062173410876,1,0.8774733994814633,0.4300510301273093,500.0,307.258868146981,BATCH_0012
192.46782213565524,2.2532083400583565,983.5883573912065,1.053552108946557,33.27426918840102,2.486373774747933,29.74717597823166,2,0.701446513005792,0.4236015022381227,305.55110914670274,203.77873589488797,BATCH_0013
186.36499344142013,5.791786140476954,2103.7612031406293,0.9644180714827005,60.62442275950688,2.272774770449704,57.2694477592652,2,0.6821522850243179,0.4639620520025016,474.9070264187468,173.25246502460908,BATCH_0014
186.68090197068676,4.699860423406359,1149.5703448507488,1.5316036503483133,66.3344165535966,2.283831568974037,48.77669218204946,1,0.7218438569735249,0.4436948636317229,395.63398902627137,177.06535694478873,BATCH_0015
210.84844859190753,4.126089936329584,2715.215272033791,0.35169424704966046,48.39279121306392,3.129695700716764,44.31403283811899,3,0.6957680919457633,0.34370727973310194,456.2633158584315,139.71125582230152,BATCH_0016
